cps19_religion,cps19_province,cps19_yob,cps19_employment,cps19_gender,cps19_education,cps19_imm,cps19_bornin_canada,cps19_econ_retro,cps19_own_fin_retro,pes19_votechoice2019,pes19_nativism1,pes19_nativism5,pes19_immigjobs,age,attitude,cpes19_immigjobs,cpes19_nativism1,cpes19_nativism5
Agnostic,Alberta,38,Disabled,Male,Some technical,About the same number of immigrants as now,Canadian,Stayed about the same,2,Green Party,Somewhat agree,Somewhat disagree,Neither agree nor disagree,62,2.0,3.0,4.0,2.0
Baptist,Alberta,34,Retired,Male,Completed technical,About the same number of immigrants as now,Immigrant,Stayed about the same,2,NDP,Somewhat agree,Somewhat disagree,Strongly agree,66,2.0,5.0,4.0,2.0
Catholic,Quebec,35,Retired,Female,Bachelor degree,Fewer immigrants,Immigrant,Got worse,3,Liberal,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,65,1.0,3.0,4.0,3.0
Atheist,Manitoba,32,Retired,Female,Some technical,About the same number of immigrants as now,Canadian,Stayed about the same,3,Conservative,Strongly agree,Somewhat agree,Strongly disagree,68,2.0,1.0,5.0,4.0
Agnostic,Quebec,69,Working for pay full-time,Male,Bachelor degree,Fewer immigrants,Canadian,Got better,1,Green Party,Strongly agree,Neither agree nor disagree,Somewhat agree,31,1.0,4.0,5.0,3.0
United Church of Canada,Alberta,27,Retired,Female,Some technical,About the same number of immigrants as now,Canadian,Stayed about the same,2,NDP,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,73,2.0,2.0,3.0,2.0
Christian Reformed,Alberta,60,Working for pay full-time,Male,Completed technical,Fewer immigrants,Immigrant,Got worse,3,Conservative,Strongly agree,Strongly agree,Strongly agree,40,1.0,5.0,5.0,5.0
Atheist,British Columbia,25,Retired,Male,Completed secondary/ high school,About the same number of immigrants as now,Canadian,Got worse,3,Conservative,Strongly agree,Somewhat agree,Somewhat disagree,75,2.0,2.0,5.0,4.0
Baptist,Manitoba,30,Retired,Male,Completed technical,About the same number of immigrants as now,Canadian,Got worse,3,Conservative,Strongly agree,Somewhat disagree,Neither agree nor disagree,70,2.0,3.0,5.0,2.0
Sikh,British Columbia,66,Working for pay full-time,Female,Bachelor degree,About the same number of immigrants as now,Canadian,Got worse,3,Liberal,Neither agree nor disagree,Strongly disagree,Somewhat disagree,34,2.0,2.0,3.0,1.0
Atheist,Alberta,29,Retired,Male,Completed technical,About the same number of immigrants as now,Canadian,Got worse,2,NDP,Somewhat agree,Strongly disagree,Strongly disagree,71,2.0,1.0,4.0,1.0
Catholic,Ontario,62,Working for pay full-time,Male,Bachelor degree,Fewer immigrants,Canadian,Got worse,1,Conservative,Strongly agree,Somewhat agree,Somewhat agree,38,1.0,4.0,5.0,4.0
Catholic,New Brunswick,71,Disabled,Female,Completed technical,Fewer immigrants,Canadian,Got worse,3,Conservative,Somewhat agree,Somewhat agree,Somewhat agree,29,1.0,4.0,4.0,4.0
Protestant,Saskatchewan,54,Working for pay full-time,Female,Some university,Fewer immigrants,Canadian,Got worse,3,Conservative,Strongly agree,Somewhat disagree,Somewhat agree,46,1.0,4.0,5.0,2.0
Atheist,British Columbia,58,Working for pay full-time,Female,Completed technical,About the same number of immigrants as now,Canadian,Stayed about the same,1,Liberal,Somewhat agree,Somewhat disagree,Strongly disagree,42,2.0,1.0,4.0,2.0
Muslim,Manitoba,65,Working for pay full-time,Male,Bachelor degree,About the same number of immigrants as now,Immigrant,Stayed about the same,2,Liberal,Strongly agree,Somewhat agree,Somewhat agree,35,2.0,4.0,5.0,4.0
Protestant,Quebec,64,Unemployed/ looking for work,Female,Master degree,More immigrants,Immigrant,Got worse,3,Conservative,Somewhat agree,Strongly agree,Strongly disagree,36,3.0,1.0,4.0,5.0
Atheist,Ontario,60,Working for pay full-time,Male,Professional degree or doctorate,About the same number of immigrants as now,Immigrant,Got better,2,Liberal,Neither agree nor disagree,Strongly disagree,Somewhat disagree,40,2.0,2.0,3.0,1.0
Anglican,Ontario,45,Unemployed/ looking for work,Male,Completed secondary/ high school,About the same number of immigrants as now,Canadian,Stayed about the same,3,Green Party,Somewhat agree,Neither agree nor disagree,Somewhat agree,55,2.0,4.0,4.0,3.0
Catholic,Quebec,34,Retired,Female,Completed secondary/ high school,About the same number of immigrants as now,Canadian,Stayed about the same,3,Liberal,Somewhat agree,Somewhat disagree,Somewhat disagree,66,2.0,2.0,4.0,2.0
Atheist,British Columbia,24,Retired,Male,Bachelor degree,Fewer immigrants,Canadian,Stayed about the same,1,Conservative,Somewhat agree,Somewhat agree,Somewhat disagree,76,1.0,2.0,4.0,4.0
Orthodox,Ontario,66,Working for pay full-time,Male,Bachelor degree,About the same number of immigrants as now,Immigrant,Stayed about the same,3,Conservative,Somewhat agree,Strongly disagree,Neither agree nor disagree,34,2.0,3.0,4.0,1.0
Anglican,Quebec,37,Retired,Male,Bachelor degree,Fewer immigrants,Canadian,Stayed about the same,2,Liberal,Somewhat agree,Somewhat disagree,Somewhat disagree,63,1.0,2.0,4.0,2.0
Atheist,Ontario,67,Working for pay full-time,Female,Bachelor degree,About the same number of immigrants as now,Canadian,Stayed about the same,2,Green Party,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,33,2.0,3.0,2.0,2.0
Muslim,British Columbia,66,Working for pay full-time,Male,Professional degree or doctorate,About the same number of immigrants as now,Canadian,Got worse,1,Liberal,Somewhat agree,Strongly disagree,Somewhat disagree,34,2.0,2.0,4.0,1.0
Atheist,British Columbia,42,Disabled,Female,Some technical,Fewer immigrants,Canadian,Got worse,2,Not voted,Strongly agree,Strongly agree,Somewhat agree,58,1.0,4.0,5.0,5.0
Atheist,Ontario,53,Working for pay full-time,Male,Completed technical,Fewer immigrants,Immigrant,Stayed about the same,3,Not voted,Strongly agree,Strongly agree,Neither agree nor disagree,47,1.0,3.0,5.0,5.0
Catholic,Ontario,51,Working for pay full-time,Male,Completed technical,Fewer immigrants,Canadian,Got worse,3,Conservative,Strongly agree,Somewhat agree,Somewhat agree,49,1.0,4.0,5.0,4.0
Atheist,Ontario,47,Self employed,Female,Some technical,Fewer immigrants,Canadian,Got worse,2,Conservative,Strongly agree,Strongly agree,Strongly agree,53,1.0,5.0,5.0,5.0
Catholic,Saskatchewan,34,Retired,Male,Master degree,About the same number of immigrants as now,Canadian,Stayed about the same,1,Conservative,Somewhat agree,Somewhat disagree,Somewhat disagree,66,2.0,2.0,4.0,2.0
Atheist,Saskatchewan,31,Retired,Female,Master degree,About the same number of immigrants as now,Canadian,Got better,2,Liberal,Somewhat agree,Somewhat disagree,Strongly disagree,69,2.0,1.0,4.0,2.0
Catholic,Alberta,29,Self employed,Male,Some technical,About the same number of immigrants as now,Canadian,Got worse,2,Conservative,Somewhat agree,Neither agree nor disagree,Somewhat disagree,71,2.0,2.0,4.0,3.0
Atheist,Alberta,52,Working for pay part-time,Male,Completed secondary/ high school,More immigrants,Canadian,Got better,1,Liberal,Somewhat disagree,Strongly disagree,Somewhat disagree,48,3.0,2.0,2.0,1.0
Agnostic,Saskatchewan,71,Student,Male,Completed technical,About the same number of immigrants as now,Canadian,Got worse,2,NDP,Somewhat agree,Neither agree nor disagree,Somewhat disagree,29,2.0,2.0,4.0,3.0
Atheist,British Columbia,47,Working for pay full-time,Male,Completed technical,About the same number of immigrants as now,Canadian,Stayed about the same,2,Liberal,Neither agree nor disagree,Somewhat disagree,Strongly disagree,53,2.0,1.0,3.0,2.0
Pentecostal/ Fundamentalist/ Born Again/ Evangelical,Ontario,70,Working for pay full-time,Female,Bachelor degree,Fewer immigrants,Canadian,Got worse,1,Green Party,Strongly agree,Somewhat agree,Strongly agree,30,1.0,5.0,5.0,4.0
Agnostic,Alberta,49,Working for pay full-time,Male,Completed technical,Fewer immigrants,Canadian,Stayed about the same,2,Conservative,Somewhat agree,Somewhat disagree,Somewhat disagree,51,1.0,2.0,4.0,2.0
United Church of Canada,Alberta,27,Retired,Male,Completed technical,About the same number of immigrants as now,Canadian,Stayed about the same,2,Liberal,Somewhat agree,Somewhat disagree,Somewhat disagree,73,2.0,2.0,4.0,2.0
Catholic,British Columbia,33,Retired,Male,Completed elementary school,Fewer immigrants,Canadian,Got worse,3,Conservative,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,67,1.0,3.0,4.0,3.0
Protestant,Saskatchewan,39,Working for pay full-time,Female,Completed technical,Fewer immigrants,Canadian,Stayed about the same,3,Conservative,Somewhat agree,Somewhat disagree,Somewhat agree,61,1.0,4.0,4.0,2.0
Catholic,Saskatchewan,48,Working for pay full-time,Male,Bachelor degree,Fewer immigrants,Canadian,Got worse,3,Conservative,Somewhat agree,Somewhat disagree,Somewhat agree,52,1.0,4.0,4.0,2.0
Atheist,Manitoba,44,Working for pay full-time,Male,Completed secondary/ high school,About the same number of immigrants as now,Canadian,Stayed about the same,2,NDP,Somewhat agree,Somewhat disagree,Somewhat disagree,56,2.0,2.0,4.0,2.0
United Church of Canada,Saskatchewan,33,Retired,Female,Completed technical,Fewer immigrants,Canadian,Got worse,2,Conservative,Strongly agree,Neither agree nor disagree,Somewhat agree,67,1.0,4.0,5.0,3.0
Catholic,Alberta,36,Retired,Female,Completed technical,Fewer immigrants,Canadian,Got worse,3,Conservative,Somewhat agree,Somewhat agree,Neither agree nor disagree,64,1.0,3.0,4.0,4.0
Lutheran,Saskatchewan,31,Retired,Female,Some university,Fewer immigrants,Canadian,Got worse,3,Conservative,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,69,1.0,3.0,3.0,3.0
Jewish,Manitoba,23,Retired,Female,Completed technical,Fewer immigrants,Canadian,Got worse,2,NDP,Neither agree nor disagree,Somewhat agree,Somewhat disagree,77,1.0,2.0,3.0,4.0
United Church of Canada,Alberta,21,Retired,Female,Some university,About the same number of immigrants as now,Canadian,Got worse,3,Conservative,Strongly agree,Neither agree nor disagree,Somewhat disagree,79,2.0,2.0,5.0,3.0
Atheist,British Columbia,34,Retired,Male,Completed secondary/ high school,About the same number of immigrants as now,Canadian,Got worse,3,NDP,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,66,2.0,3.0,3.0,2.0
Atheist,Alberta,41,Working for pay full-time,Male,Master degree,About the same number of immigrants as now,Canadian,Got better,2,NDP,Somewhat agree,Strongly disagree,Strongly disagree,59,2.0,1.0,4.0,1.0
Atheist,Manitoba,36,Retired,Female,Completed secondary/ high school,Fewer immigrants,Canadian,Got worse,2,Conservative,Strongly agree,Somewhat disagree,Somewhat agree,64,1.0,4.0,5.0,2.0
Anglican,Alberta,27,Retired,Male,Completed technical,About the same number of immigrants as now,Canadian,Stayed about the same,2,Conservative,Strongly agree,Somewhat disagree,Neither agree nor disagree,73,2.0,3.0,5.0,2.0
Agnostic,Alberta,53,Working for pay full-time,Female,Master degree,More immigrants,Canadian,Stayed about the same,2,NDP,Strongly disagree,Strongly disagree,Strongly disagree,47,3.0,1.0,1.0,1.0
Atheist,Alberta,73,Working for pay full-time,Male,Some technical,Fewer immigrants,Canadian,Stayed about the same,2,NDP,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,27,1.0,5.0,3.0,3.0
Catholic,Saskatchewan,39,Retired,Male,Completed secondary/ high school,About the same number of immigrants as now,Canadian,Got worse,2,Conservative,Strongly agree,Somewhat agree,Somewhat disagree,61,2.0,2.0,5.0,4.0
Atheist,Alberta,35,Retired,Female,Bachelor degree,About the same number of immigrants as now,Canadian,Got worse,3,Conservative,Somewhat agree,Neither agree nor disagree,Somewhat disagree,65,2.0,2.0,4.0,3.0
Atheist,Saskatchewan,21,Working for pay full-time,Male,Some secondary/ high school,Fewer immigrants,Canadian,Got worse,2,Conservative,Strongly agree,Somewhat agree,Somewhat agree,79,1.0,4.0,5.0,4.0
Catholic,Manitoba,50,Unemployed/ looking for work,Male,Completed secondary/ high school,About the same number of immigrants as now,Immigrant,Got worse,3,Not voted,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,50,2.0,3.0,3.0,1.0
United Church of Canada,Alberta,32,Retired,Male,Some university,Fewer immigrants,Canadian,Got worse,2,Conservative,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,68,1.0,3.0,4.0,3.0
Atheist,Saskatchewan,74,Working for pay full-time,Female,Some technical,Fewer immigrants,Canadian,Got worse,3,Conservative,Somewhat agree,Somewhat disagree,Somewhat disagree,26,1.0,2.0,4.0,2.0
Atheist,Alberta,49,Working for pay full-time,Female,Some technical,Fewer immigrants,Canadian,Stayed about the same,2,Liberal,Somewhat agree,Neither agree nor disagree,Somewhat disagree,51,1.0,2.0,4.0,3.0
Agnostic,Ontario,68,Unemployed/ looking for work,Female,Completed secondary/ high school,About the same number of immigrants as now,Canadian,Got worse,2,Green Party,Somewhat agree,Somewhat disagree,Neither agree nor disagree,32,2.0,3.0,4.0,2.0
Atheist,Ontario,67,Working for pay full-time,Female,Bachelor degree,About the same number of immigrants as now,Immigrant,Stayed about the same,2,Liberal,Somewhat disagree,Somewhat disagree,Strongly disagree,33,2.0,1.0,2.0,2.0
Catholic,Saskatchewan,46,Working for pay full-time,Female,Some university,About the same number of immigrants as now,Canadian,Got worse,2,Conservative,Strongly disagree,Strongly disagree,Strongly disagree,54,2.0,1.0,1.0,1.0
Atheist,Saskatchewan,50,Working for pay full-time,Male,Bachelor degree,More immigrants,Canadian,Got better,1,Liberal,Neither agree nor disagree,Strongly disagree,Strongly disagree,50,3.0,1.0,3.0,1.0
Atheist,Manitoba,56,Working for pay full-time,Female,Bachelor degree,Fewer immigrants,Canadian,Got worse,2,Not voted,Somewhat agree,Somewhat agree,Somewhat agree,44,1.0,4.0,4.0,4.0
Atheist,Saskatchewan,59,Working for pay full-time,Female,Bachelor degree,About the same number of immigrants as now,Canadian,Stayed about the same,2,NDP,Somewhat disagree,Somewhat disagree,Strongly disagree,41,2.0,1.0,2.0,2.0
Catholic,Ontario,76,Student,Female,Bachelor degree,About the same number of immigrants as now,Canadian,Got better,2,Green Party,Somewhat agree,Strongly disagree,Strongly disagree,24,2.0,1.0,4.0,1.0
Atheist,Alberta,49,Working for pay full-time,Female,Some technical,About the same number of immigrants as now,Canadian,Got worse,1,Liberal,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,51,2.0,3.0,2.0,3.0
Catholic,Manitoba,51,Working for pay full-time,Female,Bachelor degree,About the same number of immigrants as now,Canadian,Got worse,2,NDP,Strongly agree,Strongly disagree,Somewhat agree,49,2.0,4.0,5.0,1.0
Catholic,Saskatchewan,56,Working for pay full-time,Female,Completed technical,Fewer immigrants,Canadian,Got worse,1,Conservative,Strongly agree,Somewhat disagree,Somewhat agree,44,1.0,4.0,5.0,2.0
Catholic,Quebec,68,Working for pay full-time,Male,Completed secondary/ high school,About the same number of immigrants as now,Canadian,Stayed about the same,2,Liberal,Somewhat agree,Strongly disagree,Strongly disagree,32,2.0,1.0,4.0,1.0
Atheist,Saskatchewan,48,Working for pay full-time,Male,Completed technical,Fewer immigrants,Canadian,Got worse,3,Conservative,Somewhat agree,Neither agree nor disagree,Somewhat agree,52,1.0,4.0,4.0,3.0
Catholic,Manitoba,75,Student,Female,Master degree,More immigrants,Canadian,Stayed about the same,1,NDP,Somewhat agree,Strongly disagree,Strongly disagree,25,3.0,1.0,4.0,1.0
Atheist,Ontario,66,Working for pay full-time,Female,Master degree,About the same number of immigrants as now,Canadian,Stayed about the same,1,Liberal,Neither agree nor disagree,Strongly disagree,Strongly disagree,34,2.0,1.0,3.0,1.0
Atheist,Ontario,71,Working for pay full-time,Male,Master degree,About the same number of immigrants as now,Immigrant,Stayed about the same,2,Liberal,Somewhat agree,Somewhat disagree,Somewhat disagree,29,2.0,2.0,4.0,2.0
Agnostic,Alberta,51,Working for pay full-time,Female,Completed technical,About the same number of immigrants as now,Canadian,Stayed about the same,2,Conservative,Somewhat agree,Somewhat disagree,Neither agree nor disagree,49,2.0,3.0,4.0,2.0
Atheist,Alberta,62,Working for pay full-time,Female,Some technical,About the same number of immigrants as now,Canadian,Stayed about the same,3,Conservative,Strongly agree,Somewhat disagree,Somewhat disagree,38,2.0,2.0,5.0,2.0
Baptist,Ontario,78,Working for pay full-time,Female,Some university,About the same number of immigrants as now,Immigrant,Stayed about the same,2,Liberal,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,22,2.0,3.0,2.0,3.0
Anglican,Newfoundland,73,Working for pay full-time,Female,Bachelor degree,About the same number of immigrants as now,Canadian,Stayed about the same,2,Liberal,Somewhat agree,Somewhat disagree,Strongly disagree,27,2.0,1.0,4.0,2.0
Atheist,British Columbia,54,Working for pay full-time,Female,Completed technical,Fewer immigrants,Canadian,Got worse,3,Conservative,Strongly agree,Somewhat agree,Strongly agree,46,1.0,5.0,5.0,4.0
Atheist,Ontario,72,Working for pay full-time,Female,Bachelor degree,Fewer immigrants,Canadian,Stayed about the same,2,Conservative,Somewhat agree,Somewhat agree,Neither agree nor disagree,28,1.0,3.0,4.0,4.0
Atheist,Saskatchewan,49,Working for pay full-time,Female,Completed technical,Fewer immigrants,Canadian,Got worse,3,Conservative,Somewhat agree,Somewhat disagree,Neither agree nor disagree,51,1.0,3.0,4.0,2.0
Catholic,Ontario,70,Working for pay full-time,Female,Bachelor degree,Fewer immigrants,Canadian,Stayed about the same,2,Liberal,Somewhat agree,Strongly disagree,Strongly disagree,30,1.0,1.0,4.0,1.0
Atheist,Saskatchewan,45,Working for pay full-time,Male,Bachelor degree,Fewer immigrants,Canadian,Got worse,2,Conservative,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,55,1.0,3.0,3.0,3.0
Atheist,British Columbia,53,Working for pay full-time,Male,Completed technical,About the same number of immigrants as now,Immigrant,Stayed about the same,3,NDP,Strongly agree,Somewhat disagree,Strongly disagree,47,2.0,1.0,5.0,2.0
Agnostic,British Columbia,45,Retired,Male,Master degree,More immigrants,Canadian,Got better,1,Liberal,Neither agree nor disagree,Strongly disagree,Strongly disagree,55,3.0,1.0,3.0,1.0
Atheist,Alberta,70,Working for pay full-time,Male,Bachelor degree,About the same number of immigrants as now,Immigrant,Got worse,3,Conservative,Somewhat agree,Neither agree nor disagree,Somewhat disagree,30,2.0,2.0,4.0,3.0
Catholic,Alberta,68,Self employed,Female,Bachelor degree,About the same number of immigrants as now,Canadian,Stayed about the same,3,Liberal,Somewhat disagree,Somewhat disagree,Strongly disagree,32,2.0,1.0,2.0,2.0
Atheist,Ontario,67,Unemployed/ looking for work,Female,Completed technical,About the same number of immigrants as now,Canadian,Got worse,3,Green Party,Somewhat agree,Somewhat agree,Somewhat disagree,33,2.0,2.0,4.0,4.0
Protestant,Ontario,67,Working for pay full-time,Male,Bachelor degree,Fewer immigrants,Immigrant,Got worse,2,Conservative,Strongly agree,Somewhat disagree,Somewhat agree,33,1.0,4.0,5.0,2.0
Orthodox,Ontario,67,Working for pay full-time,Male,Bachelor degree,Fewer immigrants,Immigrant,Got worse,3,Conservative,Strongly agree,Neither agree nor disagree,Strongly disagree,33,1.0,1.0,5.0,3.0
Presbyterian,Ontario,67,Self employed,Female,Completed technical,About the same number of immigrants as now,Immigrant,Got better,3,Liberal,Strongly agree,Somewhat disagree,Somewhat disagree,33,2.0,2.0,5.0,2.0
Atheist,Ontario,72,Working for pay part-time,Female,Professional degree or doctorate,About the same number of immigrants as now,Canadian,Got better,2,Liberal,Somewhat agree,Strongly disagree,Somewhat disagree,28,2.0,2.0,4.0,1.0
Atheist,British Columbia,65,Working for pay full-time,Female,Some university,Fewer immigrants,Canadian,Got better,2,Liberal,Strongly agree,Neither agree nor disagree,Somewhat agree,35,1.0,4.0,5.0,3.0
Agnostic,Alberta,75,Working for pay full-time,Male,Bachelor degree,About the same number of immigrants as now,Canadian,Stayed about the same,3,Conservative,Strongly disagree,Somewhat disagree,Somewhat agree,25,2.0,4.0,1.0,2.0
Catholic,Ontario,66,Working for pay full-time,Male,Bachelor degree,More immigrants,Immigrant,Got better,1,NDP,Somewhat agree,Strongly agree,Somewhat agree,34,3.0,4.0,4.0,5.0
Christian Reformed,Ontario,70,Working for pay part-time,Female,Bachelor degree,About the same number of immigrants as now,Canadian,Got better,2,Liberal,Neither agree nor disagree,Somewhat disagree,Strongly disagree,30,2.0,1.0,3.0,2.0
Atheist,Ontario,69,Working for pay full-time,Female,Master degree,About the same number of immigrants as now,Canadian,Stayed about the same,2,Liberal,Neither agree nor disagree,Somewhat disagree,Strongly disagree,31,2.0,1.0,3.0,2.0
Catholic,Ontario,70,Working for pay full-time,Female,Bachelor degree,More immigrants,Canadian,Stayed about the same,1,Green Party,Somewhat disagree,Strongly disagree,Strongly disagree,30,3.0,1.0,2.0,1.0
Catholic,Saskatchewan,57,Working for pay full-time,Female,Bachelor degree,Fewer immigrants,Canadian,Stayed about the same,2,Liberal,Somewhat agree,Somewhat disagree,Neither agree nor disagree,43,1.0,3.0,4.0,2.0
Atheist,British Columbia,68,Working for pay full-time,Female,Bachelor degree,Fewer immigrants,Canadian,Got worse,3,NDP,Neither agree nor disagree,Somewhat agree,Strongly agree,32,1.0,5.0,3.0,4.0
Atheist,British Columbia,66,Working for pay full-time,Female,Bachelor degree,More immigrants,Canadian,Stayed about the same,2,NDP,Somewhat agree,Strongly disagree,Strongly disagree,34,3.0,1.0,4.0,1.0
Atheist,Ontario,71,Working for pay full-time,Female,Bachelor degree,About the same number of immigrants as now,Canadian,Got worse,2,NDP,Somewhat disagree,Somewhat disagree,Somewhat disagree,29,2.0,2.0,2.0,2.0
Atheist,British Columbia,74,Working for pay full-time,Female,Bachelor degree,Fewer immigrants,Canadian,Stayed about the same,2,NDP,Neither agree nor disagree,Strongly disagree,Strongly disagree,26,1.0,1.0,3.0,1.0
Lutheran,Alberta,67,Unemployed/ looking for work,Female,Master degree,Fewer immigrants,Immigrant,Got worse,3,Conservative,Somewhat agree,Strongly agree,Strongly agree,33,1.0,5.0,4.0,5.0
Hindu,Alberta,66,Unemployed/ looking for work,Female,Bachelor degree,Fewer immigrants,Immigrant,Got worse,2,Conservative,Somewhat disagree,Somewhat disagree,Strongly disagree,34,1.0,1.0,2.0,2.0
Atheist,Alberta,74,Working for pay part-time,Female,Bachelor degree,About the same number of immigrants as now,Immigrant,Stayed about the same,2,Liberal,Strongly disagree,Strongly disagree,Strongly disagree,26,2.0,1.0,1.0,1.0
Atheist,Alberta,64,Working for pay full-time,Male,Bachelor degree,About the same number of immigrants as now,Canadian,Got worse,2,Liberal,Somewhat agree,Strongly disagree,Somewhat disagree,36,2.0,2.0,4.0,1.0
Atheist,Ontario,49,Disabled,Female,Completed elementary school,About the same number of immigrants as now,Canadian,Got worse,3,Liberal,Neither agree nor disagree,Strongly disagree,Strongly disagree,51,2.0,1.0,3.0,1.0
Salvation Army,Newfoundland,39,Retired,Female,Completed technical,Fewer immigrants,Canadian,Stayed about the same,2,Conservative,Strongly agree,Strongly agree,Somewhat agree,61,1.0,4.0,5.0,5.0
Protestant,Alberta,50,Working for pay full-time,Male,Bachelor degree,Fewer immigrants,Canadian,Stayed about the same,3,Conservative,Strongly agree,Somewhat agree,Somewhat agree,50,1.0,4.0,5.0,4.0
Agnostic,Ontario,46,Retired,Male,Bachelor degree,More immigrants,Canadian,Stayed about the same,3,Liberal,Neither agree nor disagree,Strongly disagree,Strongly disagree,54,3.0,1.0,3.0,1.0
Anglican,Ontario,33,Retired,Female,Some university,Fewer immigrants,Canadian,Got better,2,Conservative,Strongly agree,Neither agree nor disagree,Somewhat disagree,67,1.0,2.0,5.0,3.0
Protestant,Alberta,30,Retired,Male,Bachelor degree,About the same number of immigrants as now,Canadian,Got worse,2,NDP,Strongly agree,Neither agree nor disagree,Somewhat agree,70,2.0,4.0,5.0,3.0
Baptist,New Brunswick,29,Working for pay part-time,Female,Completed technical,Fewer immigrants,Canadian,Got better,2,Liberal,Somewhat agree,Strongly disagree,Somewhat agree,71,1.0,4.0,4.0,1.0
Catholic,Ontario,31,Retired,Female,Some university,More immigrants,Canadian,Got better,2,Liberal,Somewhat agree,Strongly disagree,Strongly disagree,69,3.0,1.0,4.0,1.0
Atheist,Alberta,53,Working for pay full-time,Male,Bachelor degree,About the same number of immigrants as now,Canadian,Stayed about the same,3,Green Party,Somewhat agree,Strongly disagree,Strongly disagree,47,2.0,1.0,4.0,1.0
Catholic,Ontario,26,Retired,Female,Completed secondary/ high school,Fewer immigrants,Canadian,Stayed about the same,3,Conservative,Somewhat agree,Somewhat agree,Strongly agree,74,1.0,5.0,4.0,4.0
Muslim,Ontario,55,Self employed,Female,Bachelor degree,About the same number of immigrants as now,Canadian,Stayed about the same,2,Liberal,Strongly disagree,Strongly disagree,Strongly disagree,45,2.0,1.0,1.0,1.0
United Church of Canada,Ontario,59,Working for pay full-time,Female,Bachelor degree,Fewer immigrants,Canadian,Stayed about the same,3,Liberal,Somewhat agree,Somewhat disagree,Somewhat disagree,41,1.0,2.0,4.0,2.0
Atheist,Ontario,48,Working for pay full-time,Female,Completed secondary/ high school,Fewer immigrants,Canadian,Stayed about the same,2,NDP,Strongly agree,Somewhat disagree,Somewhat agree,52,1.0,4.0,5.0,2.0
Pentecostal/ Fundamentalist/ Born Again/ Evangelical,Newfoundland,39,Working for pay full-time,Male,Completed technical,Fewer immigrants,Canadian,Got worse,2,Conservative,Strongly agree,Somewhat agree,Neither agree nor disagree,61,1.0,3.0,5.0,4.0
United Church of Canada,Ontario,37,Retired,Male,Completed secondary/ high school,Fewer immigrants,Immigrant,Stayed about the same,2,Conservative,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,63,1.0,2.0,3.0,2.0
Pentecostal/ Fundamentalist/ Born Again/ Evangelical,British Columbia,38,Retired,Male,Master degree,Fewer immigrants,Canadian,Got worse,3,Conservative,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,62,1.0,3.0,4.0,3.0
Catholic,Saskatchewan,41,Working for pay full-time,Male,Completed elementary school,Fewer immigrants,Canadian,Got worse,3,Conservative,Strongly agree,Strongly agree,Strongly agree,59,1.0,5.0,5.0,5.0
Anglican,Ontario,34,Working for pay full-time,Male,Completed technical,About the same number of immigrants as now,Canadian,Stayed about the same,2,Liberal,Neither agree nor disagree,Somewhat disagree,Strongly disagree,66,2.0,1.0,3.0,2.0
Catholic,Quebec,37,Working for pay full-time,Male,Bachelor degree,More immigrants,Canadian,Stayed about the same,2,Green Party,Somewhat disagree,Strongly disagree,Strongly disagree,63,3.0,1.0,2.0,1.0
Agnostic,Quebec,37,Working for pay part-time,Male,Completed technical,More immigrants,Canadian,Stayed about the same,2,Liberal,Strongly agree,Strongly disagree,Strongly disagree,63,3.0,1.0,5.0,1.0
Catholic,Alberta,28,Retired,Male,Completed technical,About the same number of immigrants as now,Canadian,Stayed about the same,2,Liberal,Somewhat agree,Neither agree nor disagree,Somewhat disagree,72,2.0,2.0,4.0,3.0
Agnostic,British Columbia,38,Disabled,Male,Some secondary/ high school,Fewer immigrants,Canadian,Got worse,2,Conservative,Strongly agree,Somewhat agree,Somewhat agree,62,1.0,4.0,5.0,4.0
Catholic,Manitoba,43,Working for pay full-time,Female,Completed technical,Fewer immigrants,Canadian,Stayed about the same,1,Conservative,Neither agree nor disagree,Somewhat disagree,Strongly disagree,57,1.0,1.0,3.0,2.0
Pentecostal/ Fundamentalist/ Born Again/ Evangelical,Manitoba,43,Self employed,Male,Completed secondary/ high school,Fewer immigrants,Canadian,Stayed about the same,2,Liberal,Strongly agree,Somewhat agree,Neither agree nor disagree,57,1.0,3.0,5.0,4.0
Atheist,Alberta,35,Retired,Female,Bachelor degree,About the same number of immigrants as now,Canadian,Stayed about the same,2,NDP,Neither agree nor disagree,Strongly disagree,Strongly disagree,65,2.0,1.0,3.0,1.0
